id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
12,R16,Shakhtar 2017-2018,8.0,5.0,0.0,3.0,11.0,11.0,0.0,15.0,9.9,13.7,-3.8,-0.48,33.652,"Facundo Ferreyra,Bernard-",Andriy Pyatov
13,R16,Beşiktaş 2017-2018,8.0,4.0,2.0,2.0,12.0,13.0,-1.0,14.0,8.6,15.1,-6.5,-0.81,37.448,"Talisca,Cenk Tosun-",Fabricio
14,R16,Chelsea 2017-2018,8.0,3.0,3.0,2.0,17.0,12.0,5.0,12.0,15.5,7.7,7.8,0.97,40.218,"Eden Hazard,Willian-",Thibaut Courtois
15,R16,Porto 2017-2018,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,10.9,11.2,-0.3,-0.04,43.568,Vincent Aboubakar-,José Sá
16,GR,CSKA Moscow 2017-2018,6.0,3.0,0.0,3.0,8.0,10.0,-2.0,9.0,5.7,12.9,-7.2,-1.2,28.259,Vitinho-,Igor Akinfeev
17,GR,Atlético Madrid 2017-2018,6.0,1.0,4.0,1.0,5.0,4.0,1.0,7.0,11.3,6.9,4.4,0.74,57.596,Antoine Griezmann-,Jan Oblak
18,GR,RB Leipzig 2017-2018,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,9.6,7.7,2.0,0.33,41.374,Timo Werner-,Péter Gulácsi
19,GR,Sporting CP 2017-2018,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,7.3,7.1,0.2,0.04,46.515,"Bas Dost,Bruno César-",Rui Patrício
20,GR,Napoli 2017-2018,6.0,2.0,0.0,4.0,11.0,11.0,0.0,6.0,10.1,8.2,1.8,0.31,25.878,Lorenzo Insigne-,Pepe Reina
21,GR,Spartak Moscow 2017-2018,6.0,1.0,3.0,2.0,9.0,13.0,-4.0,6.0,6.8,11.4,-4.6,-0.77,43.534,"Quincy Promes,Zé Luís-",Aleksandr Selikhov
22,GR,Feyenoord 2017-2018,6.0,1.0,0.0,5.0,5.0,14.0,-9.0,3.0,5.4,8.6,-3.3,-0.54,41.167,Nicolai Jørgensen-,Brad Jones
23,GR,Celtic 2017-2018,6.0,1.0,0.0,5.0,5.0,18.0,-13.0,3.0,4.7,10.5,-5.7,-0.96,57.921,"Scott Sinclair,Callum McGregor... -",Craig Gordon
24,GR,NK Maribor 2017-2018,6.0,0.0,3.0,3.0,3.0,16.0,-13.0,3.0,4.1,16.1,-12.0,-1.99,12.349,"Damjan Bohar,Marcos Tavares... -",Jasmin Handanović
25,GR,Anderlecht 2017-2018,6.0,1.0,0.0,5.0,2.0,17.0,-15.0,3.0,5.4,14.2,-8.8,-1.47,19.586,Sofiane Hanni-,"Frank Boeckx,Matz Sels"
26,GR,Dortmund 2017-2018,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,9.6,9.8,-0.2,-0.04,65.402,Pierre-Emerick Aubameyang-,Roman Bürki
27,GR,Monaco 2017-2018,6.0,0.0,2.0,4.0,6.0,16.0,-10.0,2.0,5.9,9.7,-3.8,-0.63,9.378,Radamel Falcao-,"Danijel Subašić,Diego Benaglio"
28,GR,Qarabağ FK 2017-2018,6.0,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,2.4,14.8,-12.4,-2.06,60.741,"Míchel,Pedro Henrique-",Ibrahim Šehić
29,GR,APOEL FC 2017-2018,6.0,0.0,2.0,4.0,2.0,17.0,-15.0,2.0,3.9,16.5,-12.7,-2.11,17.211,Mickaël Poté-,Nauzet Pérez
30,GR,Olympiacos 2017-2018,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,3.4,13.8,-10.3,-1.72,30.445,Felipe Pardo-,Silvio Proto
31,GR,Benfica 2017-2018,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,6.2,10.4,-4.2,-0.69,39.492,Haris Seferović-,Mile Svilar
