id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
0,W,Real Madrid 2017-2018,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,33.0,20.0,13.1,1.01,75.398,Cristiano Ronaldo-,Keylor Navas
1,F,Liverpool 2017-2018,13.0,7.0,4.0,2.0,41.0,16.0,25.0,25.0,33.0,13.2,19.7,1.52,49.96,"Roberto Firmino,Sadio Mané... -",Loris Karius
2,SF,Bayern Munich 2017-2018,12.0,8.0,2.0,2.0,26.0,12.0,14.0,26.0,27.4,14.2,13.2,1.1,70.0,Robert Lewandowski-,Sven Ulreich
3,SF,Roma 2017-2018,12.0,6.0,2.0,4.0,21.0,19.0,2.0,20.0,19.1,18.2,0.9,0.07,48.587,Edin Džeko-,Alisson
4,QF,Barcelona 2017-2018,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,13.7,8.9,4.8,0.48,73.861,Lionel Messi-,Marc-André ter Stegen
5,QF,Manchester City 2017-2018,10.0,6.0,0.0,4.0,20.0,12.0,8.0,18.0,15.7,11.0,4.6,0.46,48.05,"Gabriel Jesus,Raheem Sterling... -",Ederson
6,QF,Juventus 2017-2018,10.0,5.0,3.0,2.0,14.0,12.0,2.0,18.0,16.9,13.6,3.3,0.33,38.541,Gonzalo Higuaín-,Gianluigi Buffon
7,QF,Sevilla 2017-2018,10.0,3.0,5.0,2.0,15.0,15.0,0.0,14.0,16.1,13.9,2.2,0.22,38.512,Wissam Ben Yedder-,Sergio Rico
8,R16,Tottenham 2017-2018,8.0,5.0,2.0,1.0,18.0,8.0,10.0,17.0,13.1,12.6,0.5,0.06,69.454,Harry Kane-,Hugo Lloris
9,R16,Manchester Utd 2017-2018,8.0,5.0,1.0,2.0,13.0,5.0,8.0,16.0,18.0,8.2,9.8,1.23,74.467,Romelu Lukaku-,David de Gea
10,R16,Paris S-G 2017-2018,8.0,5.0,0.0,3.0,27.0,9.0,18.0,15.0,17.2,9.5,7.7,0.96,46.382,Edinson Cavani-,Alphonse Areola
11,R16,Basel 2017-2018,8.0,5.0,0.0,3.0,13.0,10.0,3.0,15.0,10.4,10.7,-0.3,-0.04,34.854,Dimitri Oberlin-,Tomáš Vaclík
