id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance
0,1,Manchester City 2022-2023,13.0,8.0,5.0,0.0,32.0,5.0,27.0,29.0,26.5,10.5,16.0,1.23,63.639
2,2,Inter 2022-2023,13.0,7.0,3.0,3.0,19.0,11.0,8.0,24.0,17.9,15.1,2.8,0.22,71.415
4,SF,Real Madrid 2022-2023,12.0,8.0,2.0,2.0,26.0,13.0,13.0,26.0,22.3,15.9,6.4,0.53,58.761
5,SF,Milan 2022-2023,12.0,5.0,3.0,4.0,15.0,11.0,4.0,18.0,16.5,14.6,1.9,0.16,72.546
7,QF,Bayern Munich 2022-2023,10.0,8.0,1.0,1.0,22.0,6.0,16.0,25.0,19.4,10.9,8.4,0.84,75.0
8,QF,Napoli 2022-2023,10.0,7.0,1.0,2.0,26.0,8.0,18.0,22.0,25.2,13.0,12.2,1.22,49.133
9,QF,Benfica 2022-2023,10.0,6.0,3.0,1.0,26.0,13.0,13.0,21.0,19.0,10.9,8.1,0.81,60.222
10,QF,Chelsea 2022-2023,10.0,5.0,1.0,4.0,12.0,9.0,3.0,16.0,16.2,10.7,5.5,0.55,39.216
12,R16,Liverpool 2022-2023,8.0,5.0,0.0,3.0,19.0,12.0,7.0,15.0,14.7,10.6,4.1,0.51,51.578
13,R16,Paris S-G 2022-2023,8.0,4.0,2.0,2.0,16.0,10.0,6.0,14.0,10.8,10.0,0.8,0.1,46.68
14,R16,Porto 2022-2023,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,15.2,11.4,3.9,0.48,44.296
15,R16,RB Leipzig 2022-2023,8.0,4.0,1.0,3.0,14.0,17.0,-3.0,13.0,11.7,12.4,-0.8,-0.1,44.319
16,R16,Dortmund 2022-2023,8.0,3.0,3.0,2.0,11.0,7.0,4.0,12.0,10.5,11.4,-0.9,-0.12,78.516
17,R16,Tottenham 2022-2023,8.0,3.0,3.0,2.0,8.0,7.0,1.0,12.0,10.0,8.8,1.2,0.15,58.434
18,R16,Club Brugge 2022-2023,8.0,3.0,2.0,3.0,8.0,11.0,-3.0,11.0,8.0,16.9,-8.9,-1.12,24.296
19,R16,Eint Frankfurt 2022-2023,8.0,3.0,1.0,4.0,7.0,13.0,-6.0,10.0,8.0,12.9,-4.9,-0.61,49.3
21,GR,Barcelona 2022-2023,6.0,2.0,1.0,3.0,12.0,12.0,0.0,7.0,9.9,9.3,0.6,0.1,84.576
22,GR,Sporting CP 2022-2023,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,3.8,9.8,-6.0,-1.01,39.923
23,GR,Marseille 2022-2023,6.0,2.0,0.0,4.0,8.0,8.0,0.0,6.0,8.6,5.1,3.5,0.59,37.962
24,GR,Shakhtar 2022-2023,6.0,1.0,3.0,2.0,8.0,10.0,-2.0,6.0,3.7,10.9,-7.1,-1.19,25.257
25,GR,RB Salzburg 2022-2023,6.0,1.0,3.0,2.0,5.0,9.0,-4.0,6.0,8.3,6.9,1.4,0.23,29.301
26,GR,Ajax 2022-2023,6.0,2.0,0.0,4.0,11.0,16.0,-5.0,6.0,8.3,12.2,-3.9,-0.65,53.028
27,GR,Atlético Madrid 2022-2023,6.0,1.0,2.0,3.0,5.0,9.0,-4.0,5.0,9.5,9.8,-0.3,-0.05,58.797
28,GR,Leverkusen 2022-2023,6.0,1.0,2.0,3.0,4.0,8.0,-4.0,5.0,9.0,7.5,1.5,0.26,28.748
29,GR,Sevilla 2022-2023,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,5.4,10.2,-4.8,-0.8,34.415
30,GR,Dinamo Zagreb 2022-2023,6.0,1.0,1.0,4.0,4.0,11.0,-7.0,4.0,4.2,12.5,-8.3,-1.39,20.653
31,GR,Juventus 2022-2023,6.0,1.0,0.0,5.0,9.0,13.0,-4.0,3.0,8.6,10.6,-2.0,-0.33,34.534
32,GR,FC Copenhagen 2022-2023,6.0,0.0,3.0,3.0,1.0,12.0,-11.0,3.0,4.8,11.2,-6.4,-1.06,34.086
33,GR,Maccabi Haifa 2022-2023,6.0,1.0,0.0,5.0,7.0,21.0,-14.0,3.0,6.4,9.6,-3.3,-0.55,30.317
34,GR,Celtic 2022-2023,6.0,0.0,2.0,4.0,4.0,15.0,-11.0,2.0,9.2,10.9,-1.7,-0.29,57.367
35,GR,Viktoria Plzeň 2022-2023,6.0,0.0,0.0,6.0,5.0,24.0,-19.0,0.0,5.5,15.1,-9.5,-1.59,11.279
36,GR,Rangers 2022-2023,6.0,0.0,0.0,6.0,2.0,22.0,-20.0,0.0,4.9,14.3,-9.4,-1.57,49.253
