id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
15,2,Milan 2010-2011,8.0,2.0,3.0,3.0,7.0,8.0,-1.0,9.0,60.11,Zlatan Ibrahimović-,Christian Abbiati
38,3,Milan 2011-2012,10.0,3.0,4.0,3.0,16.0,14.0,2.0,13.0,70.491,Zlatan Ibrahimović-,Christian Abbiati
79,2,Milan 2012-2013,8.0,3.0,2.0,3.0,9.0,10.0,-1.0,11.0,40.981,"Stephan El Shaarawy,Alexandre Pato-",Christian Abbiati
109,2,Milan 2013-2014,10.0,2.0,5.0,3.0,13.0,11.0,2.0,11.0,64.186,"Kaká,Mario Balotelli-",Christian Abbiati
362,1,Milan 2021-2022,6.0,1.0,1.0,4.0,6.0,9.0,-3.0,4.0,43.762,"Rafael Leão,Junior Messias... -","Mike Maignan,Ciprian Tătărușanu"
371,4,Milan 2022-2023,12.0,5.0,3.0,4.0,15.0,11.0,4.0,18.0,72.546,Olivier Giroud-,Mike Maignan
