id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
51,1,BATE Borisov 2011-2012,12.0,1.0,7.0,4.0,11.0,17.0,-6.0,10.0,28.392,Renan Bardini Bressan-,Alyaksandr Hutar
81,1,BATE Borisov 2012-2013,12.0,5.0,3.0,4.0,18.0,19.0,-1.0,18.0,25.542,"Vitali Rodionov,Renan Bardini Bressan-",Andrey Harbunow
148,1,BATE Borisov 2014-2015,12.0,3.0,3.0,6.0,10.0,28.0,-18.0,12.0,11.382,"Alyaksandr Karnitsky,Dzyanis Palyakow-",Sergei Chernik
176,1,BATE Borisov 2015-2016,12.0,4.0,4.0,4.0,11.0,16.0,-5.0,16.0,12.814,Filip Mladenović-,Sergei Chernik
