id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
241,1,RB Leipzig 2017-2018,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,41.374,Timo Werner-,Péter Gulácsi
289,4,RB Leipzig 2019-2020,10.0,6.0,2.0,2.0,16.0,12.0,4.0,20.0,32.347,"Timo Werner,Marcel Sabitzer... -",Péter Gulácsi
322,2,RB Leipzig 2020-2021,8.0,4.0,0.0,4.0,11.0,16.0,-5.0,12.0,0.25,Angeliño-,Péter Gulácsi
353,1,RB Leipzig 2021-2022,6.0,2.0,1.0,3.0,15.0,14.0,1.0,7.0,21.098,Christopher Nkunku-,Péter Gulácsi
379,2,RB Leipzig 2022-2023,8.0,4.0,1.0,3.0,14.0,17.0,-3.0,13.0,44.319,"André Silva,Christopher Nkunku-",Janis Blaswich
