id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
6,3,Tottenham 2010-2011,12.0,4.0,5.0,3.0,25.0,19.0,6.0,17.0,34.986,"Gareth Bale,Peter Crouch-",Heurelho Gomes
210,1,Tottenham 2016-2017,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,77.519,Harry Kane-,Hugo Lloris
231,2,Tottenham 2017-2018,8.0,5.0,2.0,1.0,18.0,8.0,10.0,17.0,69.454,Harry Kane-,Hugo Lloris
256,5,Tottenham 2018-2019,13.0,6.0,2.0,5.0,20.0,19.0,1.0,20.0,62.947,"Harry Kane,Lucas Moura-",Hugo Lloris
302,2,Tottenham 2019-2020,8.0,3.0,1.0,4.0,18.0,18.0,0.0,10.0,57.247,Harry Kane-,"Hugo Lloris,Paulo Gazzaniga"
381,2,Tottenham 2022-2023,8.0,3.0,3.0,2.0,8.0,7.0,1.0,12.0,58.434,"Son Heung-min,Richarlison-",Hugo Lloris
