id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
1,5,Manchester Utd 2010-2011,13.0,6.0,6.0,1.0,19.0,7.0,12.0,24.0,80.325,"Javier Hernández,Wayne Rooney-",Edwin van der Sar
52,1,Manchester Utd 2011-2012,6.0,2.0,3.0,1.0,11.0,8.0,3.0,9.0,74.278,"Wayne Rooney,Danny Welbeck-",David de Gea
76,2,Manchester Utd 2012-2013,8.0,4.0,2.0,2.0,11.0,9.0,2.0,14.0,73.582,"Javier Hernández,Robin van Persie-",David de Gea
102,3,Manchester Utd 2013-2014,10.0,5.0,3.0,2.0,17.0,9.0,8.0,18.0,74.594,Robin van Persie-,David de Gea
179,1,Manchester Utd 2015-2016,8.0,4.0,2.0,2.0,14.0,8.0,6.0,14.0,75.099,Anthony Martial-,David de Gea
232,2,Manchester Utd 2017-2018,8.0,5.0,1.0,2.0,13.0,5.0,8.0,16.0,74.467,Romelu Lukaku-,David de Gea
262,3,Manchester Utd 2018-2019,10.0,4.0,1.0,5.0,10.0,11.0,-1.0,13.0,73.708,"Romelu Lukaku,Paul Pogba... -",David de Gea
324,1,Manchester Utd 2020-2021,6.0,3.0,0.0,3.0,15.0,10.0,5.0,9.0,0.374,Marcus Rashford-,David de Gea
348,2,Manchester Utd 2021-2022,8.0,3.0,3.0,2.0,12.0,10.0,2.0,12.0,72.893,Cristiano Ronaldo-,David de Gea
