id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
71,3,Galatasaray 2012-2013,10.0,4.0,3.0,3.0,14.0,14.0,0.0,15.0,47.397,Burak Yılmaz-,Fernando Muslera
111,2,Galatasaray 2013-2014,8.0,2.0,2.0,4.0,9.0,17.0,-8.0,8.0,44.71,Umut Bulut-,Fernando Muslera
159,1,Galatasaray 2014-2015,6.0,0.0,1.0,5.0,4.0,19.0,-15.0,1.0,28.489,Burak Yılmaz-,Fernando Muslera
190,1,Galatasaray 2015-2016,6.0,1.0,2.0,3.0,6.0,10.0,-4.0,5.0,31.182,"Lukas Podolski,Selçuk İnan-",Fernando Muslera
279,1,Galatasaray 2018-2019,6.0,1.0,1.0,4.0,5.0,8.0,-3.0,4.0,41.394,Eren Derdiyok-,Fernando Muslera
316,1,Galatasaray 2019-2020,6.0,0.0,2.0,4.0,1.0,14.0,-13.0,2.0,43.306,Adem Büyük-,Fernando Muslera
