id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
49,1,Dinamo Zagreb 2011-2012,12.0,3.0,2.0,7.0,13.0,26.0,-13.0,11.0,23.075,"Fatos Bećiraj,Mateo Kovačić... -",Ivan Kelava
83,1,Dinamo Zagreb 2012-2013,12.0,3.0,4.0,5.0,13.0,18.0,-5.0,13.0,5.89,Ivan Krstanović-,Ivan Kelava
178,1,Dinamo Zagreb 2015-2016,12.0,4.0,3.0,5.0,17.0,21.0,-4.0,15.0,17.066,"Junior Fernándes,Josip Pivarić... -",Eduardo Carvalho
310,1,Dinamo Zagreb 2019-2020,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,28.855,Mislav Oršić-,Dominik Livaković
393,1,Dinamo Zagreb 2022-2023,6.0,1.0,1.0,4.0,4.0,11.0,-7.0,4.0,20.653,Mislav Oršić-,Dominik Livaković
