id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
46,2,Leverkusen 2011-2012,8.0,3.0,1.0,4.0,10.0,18.0,-8.0,10.0,27.555,Eren Derdiyok-,Bernd Leno
110,2,Leverkusen 2013-2014,8.0,3.0,1.0,4.0,10.0,16.0,-6.0,10.0,27.867,Simon Rolfes-,Bernd Leno
137,2,Leverkusen 2014-2015,10.0,6.0,1.0,3.0,15.0,7.0,8.0,19.0,26.941,Son Heung-min-,Bernd Leno
184,1,Leverkusen 2015-2016,8.0,2.0,3.0,3.0,16.0,13.0,3.0,9.0,27.701,Javier Hernández-,Bernd Leno
207,2,Leverkusen 2016-2017,8.0,2.0,4.0,2.0,11.0,11.0,0.0,10.0,25.894,"Kevin Kampl,Kevin Volland... -",Bernd Leno
308,1,Leverkusen 2019-2020,6.0,2.0,0.0,4.0,5.0,9.0,-4.0,6.0,28.098,"Sven Bender,Kevin Volland-",Lukáš Hrádecký
391,1,Leverkusen 2022-2023,6.0,1.0,2.0,3.0,4.0,8.0,-4.0,5.0,28.748,Moussa Diaby-,Lukáš Hrádecký
