id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
3,4,Schalke 04 2010-2011,12.0,5.0,4.0,3.0,22.0,14.0,8.0,19.0,52.378,Raúl-,Manuel Neuer
75,2,Schalke 04 2012-2013,8.0,3.0,5.0,0.0,13.0,10.0,3.0,14.0,52.635,Klaas-Jan Huntelaar-,Lars Unnerstall
107,2,Schalke 04 2013-2014,10.0,4.0,2.0,4.0,12.0,18.0,-6.0,14.0,53.973,Julian Draxler-,"Ralf Fährmann,Timo Hildebrand"
140,2,Schalke 04 2014-2015,8.0,3.0,2.0,3.0,13.0,19.0,-6.0,11.0,51.706,Klaas-Jan Huntelaar-,Ralf Fährmann
269,2,Schalke 04 2018-2019,8.0,3.0,2.0,3.0,8.0,14.0,-6.0,11.0,50.949,Nabil Bentaleb-,Ralf Fährmann
