id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
72,2,Celtic 2012-2013,12.0,6.0,2.0,4.0,17.0,14.0,3.0,20.0,58.211,Georgios Samaras-,Fraser Forster
117,1,Celtic 2013-2014,12.0,3.0,3.0,6.0,12.0,16.0,-4.0,12.0,58.488,"Beram Kayal,James Forrest... -",Fraser Forster
219,1,Celtic 2016-2017,6.0,0.0,3.0,3.0,5.0,16.0,-11.0,3.0,57.781,Moussa Dembélé-,Craig Gordon
246,1,Celtic 2017-2018,6.0,1.0,0.0,5.0,5.0,18.0,-13.0,3.0,57.921,"Scott Sinclair,Callum McGregor... -",Craig Gordon
397,1,Celtic 2022-2023,6.0,0.0,2.0,4.0,4.0,15.0,-11.0,2.0,57.367,Jota-,Joe Hart
