id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
44,2,Zenit 2011-2012,8.0,3.0,3.0,2.0,10.0,9.0,1.0,12.0,20.628,Roman Shirokov-,Vyacheslav Malafeev
88,1,Zenit 2012-2013,6.0,2.0,1.0,3.0,6.0,9.0,-3.0,7.0,19.361,Danny-,Vyacheslav Malafeev
104,2,Zenit 2013-2014,12.0,4.0,5.0,3.0,23.0,17.0,6.0,17.0,17.542,Hulk-,Yuri Lodygin
144,1,Zenit 2014-2015,10.0,5.0,1.0,4.0,11.0,7.0,4.0,16.0,14.983,"Danny,Hulk... -",Yuri Lodygin
168,2,Zenit 2015-2016,8.0,5.0,0.0,3.0,14.0,9.0,5.0,15.0,17.575,Artem Dzyuba-,Yuri Lodygin
307,1,Zenit 2019-2020,6.0,2.0,1.0,3.0,7.0,9.0,-2.0,7.0,51.106,"Sardar Azmoun,Artem Dzyuba-",Mikhail Kerzhakov
334,1,Zenit 2020-2021,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,14.99,"Artem Dzyuba,Aleksandr Erokhin... -",Mikhail Kerzhakov
358,1,Zenit 2021-2022,6.0,1.0,2.0,3.0,10.0,10.0,0.0,5.0,21.135,"Claudinho,Sardar Azmoun-",Stanislav Kritsyuk
