id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
47,2,CSKA Moscow 2011-2012,8.0,2.0,3.0,3.0,11.0,13.0,-2.0,9.0,35.525,Seydou Doumbia-,Vladimir Gabulov
125,1,CSKA Moscow 2013-2014,6.0,1.0,0.0,5.0,8.0,17.0,-9.0,3.0,11.333,"Keisuke Honda,Seydou Doumbia... -",Igor Akinfeev
158,1,CSKA Moscow 2014-2015,6.0,1.0,2.0,3.0,6.0,13.0,-7.0,5.0,28.5,Seydou Doumbia-,Igor Akinfeev
181,1,CSKA Moscow 2015-2016,10.0,3.0,2.0,5.0,14.0,16.0,-2.0,11.0,17.019,Seydou Doumbia-,Igor Akinfeev
217,1,CSKA Moscow 2016-2017,6.0,0.0,3.0,3.0,5.0,11.0,-6.0,3.0,23.147,Alan Dzagoev-,Igor Akinfeev
239,1,CSKA Moscow 2017-2018,6.0,3.0,0.0,3.0,8.0,10.0,-2.0,9.0,28.259,Vitinho-,Igor Akinfeev
274,1,CSKA Moscow 2018-2019,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,63.052,Nikola Vlašić-,Igor Akinfeev
