id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
147,1,Malmö 2014-2015,12.0,4.0,1.0,7.0,13.0,21.0,-8.0,13.0,20.5,Markus Rosenberg-,Robin Olsen
180,1,Malmö 2015-2016,12.0,4.0,1.0,7.0,9.0,26.0,-17.0,13.0,20.5,Markus Rosenberg-,Johan Wiland
366,1,Malmö 2021-2022,6.0,0.0,1.0,5.0,1.0,14.0,-13.0,1.0,13.634,Søren Rieks-,Johan Dahlin
