id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
222,1,Club Brugge 2016-2017,6.0,0.0,0.0,6.0,2.0,14.0,-12.0,0.0,21.092,"Jelle Vossen,José Izquierdo-",Ludovic Butelle
277,1,Club Brugge 2018-2019,6.0,1.0,3.0,2.0,6.0,5.0,1.0,6.0,24.928,"Hans Vanaken,Wesley Moraes-","Ethan Horvath,Karlo Letica"
313,1,Club Brugge 2019-2020,6.0,0.0,3.0,3.0,4.0,12.0,-8.0,3.0,26.957,Emmanuel Dennis-,Simon Mignolet
363,1,Club Brugge 2021-2022,6.0,1.0,1.0,4.0,6.0,20.0,-14.0,4.0,25.511,Hans Vanaken-,Simon Mignolet
382,2,Club Brugge 2022-2023,8.0,3.0,2.0,3.0,8.0,11.0,-3.0,11.0,24.296,"Kamal Sowah,Jutglà-",Simon Mignolet
