id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
14,2,Roma 2010-2011,8.0,3.0,1.0,4.0,12.0,17.0,-5.0,10.0,34.666,Marco Borriello-,Júlio Sérgio
157,1,Roma 2014-2015,6.0,1.0,2.0,3.0,8.0,14.0,-6.0,5.0,55.183,Gervinho-,Morgan De Sanctis
175,2,Roma 2015-2016,8.0,1.0,3.0,4.0,11.0,20.0,-9.0,6.0,45.324,"Miralem Pjanić,Edin Džeko... -",Wojciech Szczęsny
226,4,Roma 2017-2018,12.0,6.0,2.0,4.0,21.0,19.0,2.0,20.0,48.587,Edin Džeko-,Alisson
268,2,Roma 2018-2019,8.0,4.0,0.0,4.0,14.0,12.0,2.0,12.0,49.525,Edin Džeko-,Robin Olsen
