id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
20,1,Ajax 2010-2011,10.0,2.0,5.0,3.0,13.0,16.0,-3.0,11.0,47.581,"Toby Alderweireld,Demy de Zeeuw-",Maarten Stekelenburg
56,1,Ajax 2011-2012,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,50.256,"Christian Eriksen,Derk Boerrigter... -",Kenneth Vermeer
91,1,Ajax 2012-2013,6.0,1.0,1.0,4.0,8.0,16.0,-8.0,4.0,47.578,Siem de Jong-,Kenneth Vermeer
120,1,Ajax 2013-2014,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,54.866,Lasse Schöne-,Jasper Cillessen
154,1,Ajax 2014-2015,6.0,1.0,2.0,3.0,8.0,10.0,-2.0,5.0,51.447,Lasse Schöne-,Jasper Cillessen
258,4,Ajax 2018-2019,12.0,6.0,4.0,2.0,22.0,13.0,9.0,22.0,52.056,Dušan Tadić-,André Onana
303,1,Ajax 2019-2020,6.0,3.0,1.0,2.0,12.0,6.0,6.0,10.0,51.951,Quincy Promes-,André Onana
344,2,Ajax 2021-2022,8.0,6.0,1.0,1.0,22.0,8.0,14.0,19.0,40.181,Sébastien Haller-,Remko Pasveer
389,1,Ajax 2022-2023,6.0,2.0,0.0,4.0,11.0,16.0,-5.0,6.0,53.028,Kudus Mohammed-,Remko Pasveer
