id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
9,2,Arsenal 2010-2011,8.0,5.0,0.0,3.0,21.0,11.0,10.0,15.0,59.633,"Cesc Fàbregas,Andrey Arshavin... -",Łukasz Fabiański
40,2,Arsenal 2011-2012,10.0,5.0,3.0,2.0,13.0,11.0,2.0,18.0,59.785,Robin van Persie-,Wojciech Szczęsny
77,2,Arsenal 2012-2013,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,59.954,Lukas Podolski-,Vito Mannone
105,2,Arsenal 2013-2014,10.0,5.0,2.0,3.0,14.0,8.0,6.0,17.0,59.864,"Olivier Giroud,Jack Wilshere... -",Wojciech Szczęsny
136,2,Arsenal 2014-2015,10.0,6.0,2.0,2.0,19.0,11.0,8.0,20.0,59.861,"Danny Welbeck,Alexis Sánchez... -",Wojciech Szczęsny
174,2,Arsenal 2015-2016,8.0,3.0,0.0,5.0,13.0,15.0,-2.0,9.0,57.029,Olivier Giroud-,Petr Čech
201,2,Arsenal 2016-2017,8.0,4.0,2.0,2.0,20.0,16.0,4.0,14.0,59.869,"Mesut Özil,Theo Walcott-",David Ospina
