id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
10,2,FC Copenhagen 2010-2011,12.0,3.0,5.0,4.0,12.0,11.0,1.0,14.0,35.102,"Dame N'Doye,Martin Vingaard-",Johan Wiland
124,1,FC Copenhagen 2013-2014,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,36.656,"Nicolai Jørgensen,Daniel Braaten... -",Johan Wiland
208,1,FC Copenhagen 2016-2017,6.0,2.0,3.0,1.0,7.0,2.0,5.0,9.0,30.596,Mathias Jørgensen-,Robin Olsen
395,1,FC Copenhagen 2022-2023,6.0,0.0,3.0,3.0,1.0,12.0,-11.0,3.0,34.086,Hákon Arnar Haraldsson-,Kamil Grabara
